# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1019
#@/user_id	Mac
a 	啊	c=6 d=0.835256 t=1019
wai 	外	c=1 d=0.458406 t=1019
wai jiao bu 	外交部	c=1 d=1 t=902
wan gu 	萬古	c=1 d=0.532592 t=1019
wan mei 	完美	c=0 d=0.0585669 t=1019
wan mei pei zhi 	完美配置	c=1 d=0.588605 t=1019
wan xiang 	万祥	c=1 d=1 t=861
wan yi 	玩意	c=1 d=0.158817 t=1019
wang luo 	網絡	c=1 d=0.110483 t=1019
wang luo yao yan 	網絡謠言	c=1 d=0.790571 t=1019
wang shang 	網上	c=1 d=0.856415 t=1019
wang ye 	網頁	c=1 d=0.318224 t=1019
wang zhe 	王者	c=1 d=0.615697 t=1019
wei 	威	c=0 d=0.0444858 t=1019
wei bo 	微博	c=2 d=1.07534 t=1019
wei ji bai ke 	維基百科	c=1 d=0.412714 t=1019
wen jian 	文件	c=3 d=1.0813 t=1019
wen ti 	問題	c=2 d=1.24352 t=1019
wen wo 	問我	c=0 d=0.0408608 t=1019
wen zi 	文字	c=0 d=0.0126818 t=1019
wen zi shi bie 	文字識別	c=1 d=0.127454 t=1019
wo 	我	c=3 d=0.866854 t=1019
wo bu 	我不	c=0 d=0.1 t=870
wo bu kui 	我不虧	c=1 d=1 t=871
wo bu shi 	我不是	c=1 d=1 t=799
wo cong 	我從	c=1 d=0.382893 t=1019
wo dang shi 	我當時	c=1 d=0.878095 t=1019
wo de 	我的	c=1 d=1 t=1017
wo de shi jie 	我的世界	c=2 d=1.80516 t=1019
wo di yi shi jian 	我第一時間	c=1 d=0.900325 t=1019
wo gan jue 	我感覺	c=1 d=0.171187 t=1019
wo hui 	我會	c=1 d=0.438235 t=1019
wo ji de 	我記得	c=3 d=0.726149 t=1019
wo jue de 	我覺得	c=2 d=0.441653 t=1019
wo jue dui 	我絕對	c=0 d=0.1 t=926
wo jue dui hui ba ni 	我絕對會把你	c=1 d=1 t=927
wo lai 	我來	c=0 d=0.0606531 t=1019
wo lai jie 	我來借	c=1 d=0.609571 t=1019
wo le ma 	我了嗎	c=1 d=0.444858 t=1019
wo men 	我們	c=1 d=0.509896 t=1019
wo men dou shi 	我們都是	c=1 d=0.373439 t=1019
wo men mei you 	我們沒有	c=1 d=0.377192 t=1019
wo rang ta 	我讓他	c=1 d=1 t=816
wo shui guo tou 	我睡過頭	c=1 d=0.431711 t=1019
wo xia zai 	我下載	c=1 d=0.111359 t=1019
wo zen me 	我怎麼	c=1 d=0.155673 t=1019
wo zhe shi 	我這是	c=1 d=1 t=791
wo zheng 	我正	c=0 d=0.0416862 t=1019
wo zheng zai shi yong 	我正再使用	c=1 d=0.418952 t=1019
wo zhi chi 	我支持	c=1 d=0.364219 t=1019
wu fa 	無法	c=5 d=2.92136 t=1019
wu xin 	无心	c=1 d=1 t=996
xi 	習	c=0 d=0.1 t=915
xi du 	吸毒	c=1 d=0.718924 t=1019
xi huan 	喜歡	c=3 d=0.859539 t=1019
xi tong 	系統	c=0 d=0.032628 t=1019
xi tong pian hao she zhi 	系統偏好設置	c=1 d=0.327915 t=1019
xia 	下	c=2 d=0.881621 t=1019
xia bei zi 	下輩子	c=1 d=0.0916297 t=1019
xia ci 	下次	c=2 d=0.451581 t=1019
xia fang 	下方	c=1 d=0.337902 t=1019
xia mian 	下面	c=0 d=0.0128093 t=1019
xia zai 	下載	c=0 d=0.0110803 t=1019
xian shi 	顯示	c=4 d=1.23093 t=1019
xian shi de 	顯示的	c=1 d=1.08329 t=1019
xian yu 	闲鱼	c=1 d=1 t=856
xian zai 	現在	c=2 d=0.878942 t=1019
xian zai de 	現在的	c=1 d=0.179066 t=1019
xiang 	像	c=1 d=0.125556 t=1019
xiang 	向	c=1 d=0.791901 t=1019
xiang 	想	c=0 d=0.071177 t=1019
xiang 	象	c=1 d=0.465334 t=1019
xiang ban fa 	想辦法	c=1 d=0.442639 t=1019
xiang ji ceng 	向基層	c=1 d=0.733447 t=1019
xiang ji ceng 	想基層	c=1 d=0.715338 t=1019
xiang she hui 	向社會	c=1 d=0.138761 t=1019
xiang xue 	想學	c=0 d=0.197045 t=915
xiang xue de 	想學的	c=1 d=1 t=910
xiang xue xi 	想學習	c=3 d=2.98012 t=919
xiao 	小	c=1 d=0.0850088 t=1019
xiao cheng xu 	小程序	c=1 d=0.740818 t=1019
xiao chu 	消除	c=1 d=0.122456 t=1019
xiao fen 	小粉	c=0 d=0.0726149 t=1019
xiao fen hong 	小粉紅	c=2 d=0.729789 t=1019
xiao lang hao 	小狼毫	c=1 d=0.937067 t=1019
xiao qu 	消去	c=1 d=0.349938 t=1019
xiao shi 	消失	c=2 d=0.995012 t=1019
xiao shuo 	小說	c=2 d=1.90032 t=1019
xiao xin 	小新	c=1 d=0.0911727 t=1019
xiao yuan wang 	校園網	c=1 d=0.118837 t=1019
xiao zhong 	小衆	c=0 d=0.0186374 t=1019
xiao zhong ruan jian 	小衆軟件	c=1 d=0.187308 t=1019
xie 	寫	c=0 d=0.0265803 t=1019
xie bu liao 	寫不了	c=1 d=0.267135 t=1019
xie de 	寫的	c=0 d=0.0701173 t=1019
xie de zhen hao 	寫的真好	c=1 d=0.704688 t=1019
xie le 	寫了	c=0 d=0.1 t=818
xie le yi bian 	寫了一遍	c=1 d=1 t=819
xin 	新	c=0 d=0.00884781 t=1019
xin biao qian 	新標籤	c=2 d=0.340812 t=1019
xin biao qian ye 	新標籤頁	c=4 d=0.853923 t=1019
xin gong neng 	新功能	c=1 d=0.597501 t=1019
xin guan 	新冠	c=1 d=0.26982 t=1019
xin min zhu zhu yi 	新民主主義	c=2 d=0.990768 t=1019
xin wen 	新聞	c=1 d=0.67032 t=1019
xin xi 	信息	c=3 d=2.87114 t=965
xing neng 	性能	c=1 d=0.865022 t=1019
xing xing 	星星	c=5 d=0.759933 t=1019
xing xing 	腥腥	c=1 d=0.19593 t=1019
xiu 	修	c=1 d=1.099 t=779
xiu dou bu gan 	修都不敢	c=1 d=1 t=778
xiu gai 	修改	c=2 d=0.551208 t=1019
xuan xiang 	選項	c=1 d=0.376469 t=1019
xue 	學	c=1 d=0.390628 t=1019
xue xi 	学习	c=1 d=1.01317 t=1019
xue xi bu pa gen qian di 	学习不怕跟淺底	c=1 d=0.767206 t=1019
xue xi tong 	学习通	c=1 d=0.546074 t=1019
xue xiao 	學校	c=1 d=0.474734 t=1019
xun huan tu 	循環圖	c=1 d=0.740818 t=1019
ya 	呀	c=1 d=0.873716 t=1019
yao yan 	謠言	c=0 d=0.0786628 t=1019
ye 	頁	c=3 d=0.442229 t=1019
ye bu 	也不	c=0 d=0.0351692 t=1019
yi 	一	c=1 d=0.324652 t=1019
yi 	已	c=0 d=0.0421052 t=1019
yi bei 	已被	c=1 d=0.121238 t=1019
yi bian 	一遍	c=0 d=0.1 t=818
yi da kai 	一打開	c=1 d=0.786628 t=1019
yi dian 	一點	c=1 d=0.0925506 t=1019
yi ge 	一個	c=3 d=1.07126 t=1019
yi geng xin 	已更新	c=1 d=0.423162 t=1019
yi jing 	已經	c=1 d=0.229925 t=1019
yi jiu shi 	依旧是	c=1 d=0.114178 t=1019
yi nan za zheng 	疑难杂症	c=1 d=1 t=869
yi qian wan 	壹仟萬	c=1 d=0.26054 t=1019
yi ri 	一日	c=0 d=0.0771052 t=1019
yi ri du shu 	一日讀書	c=1 d=0.774916 t=1019
yi she bei 	一設備	c=2 d=1.01577 t=1019
yi tie 	一帖	c=1 d=0.621885 t=1019
yi xia 	一下	c=0 d=0.0571209 t=1019
yi zhong 	一中	c=0 d=0.0348192 t=1019
yin cang 	隱藏	c=6 d=1.92639 t=1019
yin qing 	引擎	c=4 d=0.893963 t=1019
yin wei 	因爲	c=1 d=0.546074 t=1019
yin yue 	音樂	c=1 d=0.146607 t=1019
ying 	瑩	c=1 d=1 t=893
ying gai 	應該	c=1 d=1 t=995
ying yong 	應用	c=2 d=1.92688 t=1019
ying yu 	英語	c=1 d=1 t=886
yong 	用	c=3 d=1.05217 t=1019
yong de 	用的	c=1 d=0.117068 t=1019
yong dian nao 	用電腦	c=0 d=0.1 t=935
yong dian nao ba 	用電腦吧	c=1 d=1 t=936
yong le da dian 	永樂大典	c=1 d=0.985112 t=1019
yong shang le 	用上了	c=1 d=0.429557 t=1019
yong shen me 	用什麼	c=1 d=0.644036 t=1019
you 	又	c=2 d=1.84366 t=818
you 	有	c=3 d=1.21295 t=1019
you bei 	又被	c=1 d=0.161218 t=1019
you dian 	有點	c=2 d=0.763803 t=1019
you ge 	有個	c=1 d=0.927743 t=1019
you lu 	有路	c=1 d=0.763379 t=1019
you na xie 	有哪些	c=1 d=0.0875977 t=1019
you xi 	遊戲	c=2 d=0.82489 t=1019
you yi 	有一	c=0 d=0.0609571 t=1019
you yi ge 	又一個	c=1 d=0.339596 t=1019
you yi shuo yi 	有一說一	c=1 d=0.612626 t=1019
yu 	魚	c=1 d=0.197899 t=1019
yu fa 	語法	c=0 d=0.0540641 t=1019
yu fa cuo wu 	語法錯誤	c=1 d=0.543351 t=1019
yu jing 	語境	c=1 d=0.551563 t=1019
yu wen 	語文	c=1 d=1 t=884
yu yan 	語言	c=1 d=0.843665 t=1019
yuan 	苑	c=0 d=0.1 t=981
yuan lai de 	原來的	c=1 d=0.0982736 t=1019
yue 	悅	c=1 d=0.852144 t=1019
yue du 	閱讀	c=1 d=0.537944 t=1019
yue lai yue duo 	越來越多	c=1 d=0.687289 t=1019
zai 	在	c=2 d=0.535746 t=1019
zai ci 	再次	c=2 d=1.72979 t=850
zai jia 	再加	c=0 d=0.045612 t=1019
zai jia yi ge 	再加一個	c=1 d=0.458406 t=1019
zai na li 	在哪裏	c=1 d=0.767206 t=1019
zai ping guo 	在蘋果	c=1 d=1 t=987
zai ru 	載入	c=1 d=0.327915 t=1019
zai shi yong 	再使用	c=0 d=0.0416862 t=1019
zai yu 	在於	c=2 d=0.814647 t=1019
zai zhe li 	在這裏	c=1 d=1 t=811
zai zhong guo 	在中國	c=1 d=0.164474 t=1019
zan men 	咱們	c=2 d=0.509487 t=1019
zen me 	怎麼	c=3 d=1.04622 t=1019
zen me ban 	怎麼辦	c=1 d=0.119433 t=1019
zen me ban ne 	怎麼辦呢	c=1 d=1 t=926
zen me hui shi 	怎麼回事	c=1 d=1 t=796
zen me le 	怎麼了	c=1 d=0.932394 t=1019
zha le 	炸了	c=1 d=0.244143 t=1019
zhan zhu 	站主	c=1 d=0.396531 t=1019
zhe 	這	c=1 d=1 t=793
zhe duan 	這段	c=1 d=0.701173 t=1019
zhe ge 	這個	c=2 d=0.908586 t=1019
zhe ge ren 	這個人	c=1 d=0.137381 t=1019
zhe jia huo 	這傢伙	c=1 d=0.380983 t=1019
zhe jiao 	這叫	c=1 d=0.913931 t=1019
zhe li 	這裏	c=1 d=1 t=807
zhe shi 	這是	c=2 d=0.939981 t=1019
zhe tian 	遮天	c=1 d=0.527292 t=1019
zhe tie 	這貼	c=1 d=0.612626 t=1019
zhe yang 	這樣	c=1 d=0.225373 t=1019
zhe ye 	這也	c=0 d=0.0594521 t=1019
zhe ye tai ke ai le ba 	這也太可愛了吧	c=1 d=0.597501 t=1019
zhen bian 	鍼砭	c=1 d=0.384812 t=1019
zhen de 	真的	c=2 d=0.671446 t=1019
zhen dui 	針對	c=0 d=0.1 t=953
zhen hao 	真好	c=0 d=0.0701173 t=1019
zhen hui 	真會	c=1 d=0.355226 t=1019
zhen zhuo 	斟酌	c=1 d=0.402524 t=1019
zheng 	整	c=0 d=0.0109154 t=1019
zheng chang 	正常	c=2 d=0.754756 t=1019
zheng lun 	爭論	c=1 d=0.860708 t=1019
zheng shuang 	郑爽	c=2 d=1.98511 t=904
zheng ting hao 	整挺好	c=1 d=0.109701 t=1019
zheng zai 	正在	c=2 d=0.418283 t=1019
zhi 	之	c=2 d=0.742185 t=1019
zhi 	只	c=1 d=0.465334 t=1019
zhi bo 	直播	c=1 d=0.362402 t=1019
zhi chi 	支持	c=2 d=1.75201 t=858
zhi shi 	只是	c=1 d=1 t=968
zhi wen 	指紋	c=1 d=0.484325 t=1019
zhi you 	只有	c=1 d=0.501576 t=1019
zhi zhen dui 	只針對	c=1 d=1 t=954
zhong 	中	c=3 d=0.82455 t=1019
zhong 	種	c=1 d=0.351692 t=1019
zhong duan 	終端	c=1 d=1 t=939
zhong guo 	中國	c=1 d=1 t=888
zhong wen 	中文	c=1 d=0.548812 t=1019
zhong wen ban 	中文版	c=1 d=0.511709 t=1019
zhong wu 	中午	c=0 d=0.1 t=905
zhong zhi 	中之	c=0 d=0.1 t=843
zhong zhi ren 	中之人	c=1 d=1 t=844
zhou zong li 	周總理	c=1 d=1 t=895
zhu ti 	主題	c=1 d=0.0987662 t=1019
zhu ti qu 	主題曲	c=1 d=0.14808 t=1019
zhu yao 	主要	c=1 d=0.810584 t=1019
zhu yao nei rong 	主要內容	c=2 d=1.08586 t=1019
zhu yao nei rong shi 	主要內容是	c=1 d=0.496585 t=1019
zhu yi 	注意	c=1 d=0.092089 t=1019
zhuan fa 	轉發	c=1 d=0.694197 t=1019
zi 	字	c=1 d=0.268474 t=1019
zi dong 	自動	c=1 d=0.32628 t=1019
zi ji 	自己	c=1 d=1 t=765
zi ji de 	自己的	c=1 d=0.404542 t=1019
zi yong 	自用	c=2 d=0.99005 t=1019
zong gong you 	總共有	c=2 d=1.97531 t=887
zong shi 	總是	c=1 d=0.382893 t=1019
zou qi 	走起	c=1 d=1 t=857
zui chang yong 	最常用	c=0 d=0.1 t=920
zui chang yong de 	最常用的	c=1 d=1 t=921
zui hao kan 	最好看	c=1 d=0.650509 t=1019
zui hou 	最後	c=1 d=1 t=1006
zui shou 	最受	c=1 d=0.826959 t=1019
zuo 	做	c=1 d=1 t=874
zuo ai 	做愛	c=1 d=1 t=997
zuo bi 	作弊	c=0 d=0.0264477 t=1019
zuo bi de 	作弊的	c=1 d=0.265803 t=1019
zuo deng 	坐等	c=2 d=1.72979 t=851
zuo wei 	作爲	c=1 d=0.618783 t=1019
